,lat,lon,DXYP__
240,-88.0,60.0,2160141600.0
241,-88.0,62.5,2160141600.0
242,-88.0,65.0,2160141600.0
243,-88.0,67.5,2160141600.0
244,-88.0,70.0,2160141600.0
245,-88.0,72.5,2160141600.0
246,-88.0,75.0,2160141600.0
247,-88.0,77.5,2160141600.0
248,-88.0,80.0,2160141600.0
249,-88.0,82.5,2160141600.0
250,-88.0,85.0,2160141600.0
251,-88.0,87.5,2160141600.0
252,-88.0,90.0,2160141600.0
253,-88.0,92.5,2160141600.0
254,-88.0,95.0,2160141600.0
255,-88.0,97.5,2160141600.0
256,-88.0,100.0,2160141600.0
257,-88.0,102.5,2160141600.0
258,-88.0,105.0,2160141600.0
259,-88.0,107.5,2160141600.0
260,-88.0,110.0,2160141600.0
261,-88.0,112.5,2160141600.0
262,-88.0,115.0,2160141600.0
263,-88.0,117.5,2160141600.0
264,-88.0,120.0,2160141600.0
265,-88.0,122.5,2160141600.0
266,-88.0,125.0,2160141600.0
267,-88.0,127.5,2160141600.0
268,-88.0,130.0,2160141600.0
269,-88.0,132.5,2160141600.0
270,-88.0,135.0,2160141600.0
271,-88.0,137.5,2160141600.0
272,-88.0,140.0,2160141600.0
273,-88.0,142.5,2160141600.0
274,-88.0,145.0,2160141600.0
275,-88.0,147.5,2160141600.0
276,-88.0,150.0,2160141600.0
277,-88.0,152.5,2160141600.0
278,-88.0,155.0,2160141600.0
279,-88.0,157.5,2160141600.0
280,-88.0,160.0,2160141600.0
281,-88.0,162.5,2160141600.0
282,-88.0,165.0,2160141600.0
283,-88.0,167.5,2160141600.0
284,-88.0,170.0,2160141600.0
285,-88.0,172.5,2160141600.0
286,-88.0,175.0,2160141600.0
287,-88.0,177.5,2160141600.0
288,-86.0,-180.0,4317651500.0
289,-86.0,-177.5,4317651500.0
290,-86.0,-175.0,4317651500.0
291,-86.0,-172.5,4317651500.0
292,-86.0,-170.0,4317651500.0
293,-86.0,-167.5,4317651500.0
294,-86.0,-165.0,4317651500.0
295,-86.0,-162.5,4317651500.0
296,-86.0,-160.0,4317651500.0
297,-86.0,-157.5,4317651500.0
298,-86.0,-155.0,4317651500.0
299,-86.0,-152.5,4317651500.0
300,-86.0,-150.0,4317651500.0
301,-86.0,-147.5,4317651500.0
302,-86.0,-145.0,4317651500.0
303,-86.0,-142.5,4317651500.0
304,-86.0,-140.0,4317651500.0
305,-86.0,-137.5,4317651500.0
306,-86.0,-135.0,4317651500.0
307,-86.0,-132.5,4317651500.0
308,-86.0,-130.0,4317651500.0
309,-86.0,-127.5,4317651500.0
310,-86.0,-125.0,4317651500.0
311,-86.0,-122.5,4317651500.0
312,-86.0,-120.0,4317651500.0
